[2023-04-15 13:10:53,712] 0	T_sample 76.41	T_update 4.13	ETA 4 days, 4:39:19	expert_R_avg 0.4717 [0.5669,0.7307,0.2864,0.6380,0.9416]	expert_R_range (0.1229, 0.9880)	eps_len 14.13
[2023-04-15 13:12:21,179] 1	T_sample 83.73	T_update 3.70	ETA 4 days, 13:14:00	expert_R_avg 0.5141 [0.6046,0.7345,0.3400,0.6835,0.9412]	expert_R_range (0.1418, 0.9883)	eps_len 12.79
[2023-04-15 13:13:42,823] 2	T_sample 77.92	T_update 3.69	ETA 4 days, 5:56:04	expert_R_avg 0.5000 [0.5973,0.7390,0.3211,0.6611,0.9406]	expert_R_range (0.1296, 0.9881)	eps_len 13.91
[2023-04-15 13:14:56,681] 3	T_sample 70.13	T_update 3.69	ETA 3 days, 20:11:17	expert_R_avg 0.4803 [0.5870,0.7436,0.2946,0.6307,0.9400]	expert_R_range (0.1165, 0.9905)	eps_len 15.65
[2023-04-15 13:16:04,814] 4	T_sample 64.39	T_update 3.70	ETA 3 days, 13:00:57	expert_R_avg 0.4369 [0.5128,0.7500,0.2527,0.5936,0.9387]	expert_R_range (0.0890, 0.9869)	eps_len 17.56
[2023-04-15 13:17:09,979] 5	T_sample 61.42	T_update 3.70	ETA 3 days, 9:17:44	expert_R_avg 0.4293 [0.5083,0.7524,0.2433,0.5797,0.9387]	expert_R_range (0.0946, 0.9879)	eps_len 18.84
[2023-04-15 13:18:12,119] 6	T_sample 58.39	T_update 3.71	ETA 3 days, 5:30:03	expert_R_avg 0.4234 [0.5116,0.7526,0.2334,0.5680,0.9384]	expert_R_range (0.0897, 0.9883)	eps_len 20.01
[2023-04-15 13:19:13,480] 7	T_sample 57.61	T_update 3.71	ETA 3 days, 4:30:42	expert_R_avg 0.4305 [0.5630,0.7394,0.2308,0.5495,0.9380]	expert_R_range (0.0950, 0.9890)	eps_len 20.08
[2023-04-15 13:20:13,919] 8	T_sample 56.70	T_update 3.70	ETA 3 days, 3:20:45	expert_R_avg 0.4330 [0.5668,0.7398,0.2344,0.5482,0.9378]	expert_R_range (0.0873, 0.9888)	eps_len 20.34
[2023-04-15 13:21:13,867] 9	T_sample 56.20	T_update 3.71	ETA 3 days, 2:42:59	expert_R_avg 0.4367 [0.5716,0.7432,0.2385,0.5506,0.9378]	expert_R_range (0.0803, 0.9912)	eps_len 20.65
[2023-04-15 13:22:13,899] 10	T_sample 56.28	T_update 3.71	ETA 3 days, 2:48:09	expert_R_avg 0.4393 [0.5746,0.7426,0.2444,0.5448,0.9377]	expert_R_range (0.0856, 0.9874)	eps_len 20.85
[2023-04-15 13:23:13,029] 11	T_sample 55.37	T_update 3.72	ETA 3 days, 1:39:40	expert_R_avg 0.4411 [0.5773,0.7432,0.2454,0.5486,0.9374]	expert_R_range (0.0881, 0.9879)	eps_len 21.27
